asset_id,asset_tag,asset_name,asset_category,grant_id,project_id,purchase_date,purchase_cost,currency,useful_life_years,depreciation_method,current_book_value,location_id,custodian_id,condition,verified_date,disposal_date,disposal_method,disposal_proceeds,donor_approval_ref
AST-0001,CDFT-0001,Dell Laptop Computer,IT Equipment,GRT-2023-004,PRJ-2023-008,2024-02-12,2024000.0,TZS,3,Straight Line,921259.41,LOC-MAN-004,STF-020,Good,2025-07-15,,,,
AST-0002,CDFT-0002,Toyota Land Cruiser 4x4,Vehicle,GRT-2023-001,PRJ-2023-011,2021-10-03,39576000.0,TZS,5,Straight Line,7958541.27,LOC-ARU-002,STF-101,Poor,2025-09-22,,,,
AST-0003,CDFT-0003,Executive Office Desk,Furniture,GRT-2024-001,PRJ-2024-007,2021-04-08,684000.0,TZS,5,Straight Line,70881.31,LOC-KIL-001,STF-028,Good,2025-02-20,,,,DA-GRT-2024-001-003
AST-0004,CDFT-0004,Rapid Test Kit Storage Fridge,Medical Equipment,GRT-2023-002,PRJ-2023-004,2023-07-11,2826000.0,TZS,5,Straight Line,1567936.76,LOC-ARU-002,STF-072,Fair,2025-06-21,,,,
AST-0005,CDFT-0005,Executive Office Desk,Furniture,GRT-2023-005,PRJ-2023-010,2021-09-06,621000.0,TZS,5,Straight Line,115698.97,LOC-MAN-003,STF-084,Good,2025-04-12,,,,
AST-0006,CDFT-0006,Office Chair,Furniture,GRT-2024-004,PRJ-2024-006,2023-09-26,269000.0,TZS,5,Straight Line,160589.87,LOC-ARU-003,STF-079,Poor,2025-08-17,,,,
AST-0007,CDFT-0007,Water Dispenser,Office Equipment,GRT-2023-003,PRJ-2023-006,2024-08-04,431000.0,TZS,3,Straight Line,264618.07,LOC-MAN-002,STF-074,Poor,2025-06-22,,,,
AST-0008,CDFT-0008,Toyota Hiace Minibus,Vehicle,GRT-2024-001,PRJ-2024-002,2022-04-13,23397000.0,TZS,5,Straight Line,7164830.8,LOC-MAN-004,STF-035,Good,2025-06-12,,,,DA-GRT-2024-001-008
AST-0009,CDFT-0009,Blood Pressure Monitor,Medical Equipment,GRT-2024-003,PRJ-2024-005,2025-05-19,295000.0,TZS,5,Straight Line,273193.02,LOC-MAN-001,STF-058,Poor,2025-07-05,,,,
AST-0010,CDFT-0010,Canon Printer,IT Equipment,GRT-2022-004,PRJ-2023-005,2025-01-30,1007000.0,TZS,3,Straight Line,782762.72,LOC-MAN-004,STF-096,Good,2025-05-09,,,,
AST-0011,CDFT-0011,Canon Printer,IT Equipment,GRT-2023-002,PRJ-2023-004,2021-05-11,832000.0,TZS,3,Straight Line,0.0,LOC-MAN-002,STF-020,Good,2025-01-28,2025-02-10,Sold,0.0,
AST-0012,CDFT-0012,Blood Pressure Monitor,Medical Equipment,GRT-2023-004,PRJ-2023-008,2025-02-19,301000.0,TZS,5,Straight Line,264080.63,LOC-KIL-003,STF-068,Good,2025-08-15,,,,DA-GRT-2023-004-012
AST-0013,CDFT-0013,Toyota Land Cruiser 4x4,Vehicle,GRT-2024-002,PRJ-2024-003,2022-10-29,36712000.0,TZS,5,Straight Line,15242641.48,LOC-MAN-001,STF-120,Poor,2025-09-01,,,,
AST-0014,CDFT-0014,Microscope,Medical Equipment,GRT-2023-002,PRJ-2023-012,2021-12-29,1549000.0,TZS,5,Straight Line,385288.57,LOC-MAN-003,STF-113,Fair,2025-08-22,,,,
AST-0015,CDFT-0015,Irrigation Pump,Agricultural Equipment,GRT-2023-002,PRJ-2023-012,2022-09-27,1523000.0,TZS,5,Straight Line,605655.72,LOC-KIL-002,STF-057,Good,2025-09-04,,,,
AST-0016,CDFT-0016,Weighing Scale,Medical Equipment,GRT-2024-001,PRJ-2024-001,2021-01-22,165000.0,TZS,5,Straight Line,10232.03,LOC-KIL-003,STF-045,Good,2025-09-25,,,,
AST-0017,CDFT-0017,Grain Storage Silo,Agricultural Equipment,GRT-2023-001,PRJ-2023-011,2025-03-28,2250000.0,TZS,10,Straight Line,2134804.93,LOC-MAN-002,STF-030,Good,2025-06-03,2025-03-16,Transferred to Government,,DA-GRT-2023-001-017
AST-0018,CDFT-0018,Grain Storage Silo,Agricultural Equipment,GRT-2023-005,PRJ-2023-010,2024-02-23,2711000.0,TZS,10,Straight Line,2276052.43,LOC-MAN-004,STF-095,Good,2025-07-22,,,,DA-GRT-2023-005-018
AST-0019,CDFT-0019,Blood Pressure Monitor,Medical Equipment,GRT-2022-003,PRJ-2023-003,2023-05-15,288000.0,TZS,5,Straight Line,150800.82,LOC-MAN-002,STF-104,Fair,2025-05-03,,,,DA-GRT-2022-003-019
AST-0020,CDFT-0020,Executive Office Desk,Furniture,GRT-2023-002,PRJ-2023-012,2022-07-05,603000.0,TZS,5,Straight Line,212061.19,LOC-KIL-003,STF-018,Good,2025-04-07,,,,
AST-0021,CDFT-0021,Water Dispenser,Office Equipment,GRT-2024-003,PRJ-2024-005,2022-07-12,352000.0,TZS,3,Straight Line,0.0,LOC-KIL-001,STF-020,Fair,2025-09-09,,,,
AST-0022,CDFT-0022,Grain Storage Silo,Agricultural Equipment,GRT-2023-002,PRJ-2023-004,2022-08-01,2268000.0,TZS,10,Straight Line,1549567.15,LOC-MAN-004,STF-002,Good,2025-03-06,,,,
AST-0023,CDFT-0023,HP Desktop Computer,IT Equipment,GRT-2021-001,PRJ-2023-007,2022-12-02,1129000.0,TZS,3,Straight Line,63623.77,LOC-ARU-004,STF-048,Good,2025-06-09,,,,
AST-0024,CDFT-0024,Toyota Hilux Double Cab,Vehicle,GRT-2022-004,PRJ-2023-005,2021-04-25,30356000.0,TZS,5,Straight Line,3428295.69,LOC-ARU-004,STF-024,Good,2025-07-20,,,,
AST-0025,CDFT-0025,Executive Office Desk,Furniture,GRT-2023-001,PRJ-2023-001,2021-09-07,759000.0,TZS,5,Straight Line,141825.46,LOC-ARU-004,STF-032,Poor,2025-05-08,,,,DA-GRT-2023-001-025
AST-0026,CDFT-0026,Toyota Hilux Double Cab,Vehicle,GRT-2023-002,PRJ-2023-004,2023-12-04,28468000.0,TZS,5,Straight Line,18070652.43,LOC-MAN-003,STF-040,Fair,2025-04-17,,,,DA-GRT-2023-002-026
AST-0027,CDFT-0027,Canon Printer,IT Equipment,GRT-2023-001,PRJ-2023-002,2025-03-06,921000.0,TZS,3,Straight Line,745331.28,LOC-ARU-004,STF-082,Fair,2025-09-24,,,,
AST-0028,CDFT-0028,Steel Filing Cabinet,Furniture,GRT-2021-001,PRJ-2023-007,2021-08-20,456000.0,TZS,5,Straight Line,80712.94,LOC-KIL-003,STF-102,Good,2025-08-11,,,,
AST-0029,CDFT-0029,Dell Laptop Computer,IT Equipment,GRT-2023-004,PRJ-2023-008,2021-01-19,1761000.0,TZS,3,Straight Line,0.0,LOC-KIL-003,STF-048,Good,2025-09-01,,,,DA-GRT-2023-004-029
AST-0030,CDFT-0030,UPS Battery Backup,IT Equipment,GRT-2022-003,PRJ-2023-003,2024-11-05,392000.0,TZS,3,Straight Line,273943.87,LOC-MAN-003,STF-008,Fair,2025-06-23,,,,
AST-0031,CDFT-0031,Water Dispenser,Office Equipment,GRT-2023-002,PRJ-2023-012,2021-08-08,304000.0,TZS,3,Straight Line,0.0,LOC-MAN-001,STF-101,Good,2025-09-07,,,,DA-GRT-2023-002-031
AST-0032,CDFT-0032,Steel Filing Cabinet,Furniture,GRT-2024-003,PRJ-2024-005,2025-02-10,442000.0,TZS,5,Straight Line,385607.94,LOC-ARU-002,STF-093,Good,2025-01-11,,,,
AST-0033,CDFT-0033,Toyota Hilux Double Cab,Vehicle,GRT-2024-003,PRJ-2024-005,2024-02-19,32588000.0,TZS,5,Straight Line,22059912.39,LOC-KIL-003,STF-070,Good,2025-09-08,,,,
AST-0034,CDFT-0034,Microscope,Medical Equipment,GRT-2023-003,PRJ-2023-013,2024-02-10,1663000.0,TZS,5,Straight Line,1117545.11,LOC-ARU-004,STF-038,Good,2025-02-05,,,,DA-GRT-2023-003-034
AST-0035,CDFT-0035,Grain Storage Silo,Agricultural Equipment,GRT-2023-001,PRJ-2023-001,2025-05-09,2703000.0,TZS,10,Straight Line,2595694.05,LOC-KIL-003,STF-114,Fair,2025-09-17,,,,
AST-0036,CDFT-0036,Steel Filing Cabinet,Furniture,GRT-2023-004,PRJ-2023-008,2022-10-19,437000.0,TZS,5,Straight Line,179047.36,LOC-MAN-001,STF-105,Fair,2025-02-02,,,,
AST-0037,CDFT-0037,Irrigation Pump,Agricultural Equipment,GRT-2023-002,PRJ-2023-012,2021-11-12,1550000.0,TZS,5,Straight Line,345646.82,LOC-MAN-003,STF-042,Fair,2025-05-25,,,,
AST-0038,CDFT-0038,Irrigation Pump,Agricultural Equipment,GRT-2023-001,PRJ-2023-002,2021-09-23,1535000.0,TZS,5,Straight Line,300275.84,LOC-ARU-004,STF-025,Good,2025-01-17,,,,
AST-0039,CDFT-0039,Generator,Office Equipment,GRT-2024-002,PRJ-2024-004,2024-09-09,3811000.0,TZS,5,Straight Line,3003412.32,LOC-MAN-002,STF-033,Good,2025-09-27,,,,
AST-0040,CDFT-0040,UPS Battery Backup,IT Equipment,GRT-2022-003,PRJ-2023-003,2021-01-27,483000.0,TZS,3,Straight Line,0.0,LOC-KIL-002,STF-060,Good,2025-09-09,,,,DA-GRT-2022-003-040
AST-0041,CDFT-0041,Toyota Hilux Double Cab,Vehicle,GRT-2023-005,PRJ-2023-010,2023-01-26,30797000.0,TZS,5,Straight Line,14287615.74,LOC-ARU-001,STF-068,Poor,2025-01-30,,,,
AST-0042,CDFT-0042,Toyota Hiace Minibus,Vehicle,GRT-2022-003,PRJ-2023-003,2022-03-19,32914000.0,TZS,5,Straight Line,9628640.38,LOC-KIL-004,STF-069,Fair,2025-02-19,,,,
