allocation_id,grant_id,project_id,budget_line_id,activity_id,period_id,original_amount,revised_amount,currency,version,virement_reference,approved_by,approval_date,notes
BGA-0001,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0003,FP-2025-01,4926.49,4926.49,USD,1,,,,
BGA-0002,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0004,FP-2025-02,5280.62,5280.62,USD,1,,,,
BGA-0003,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0004,FP-2025-03,4509.63,4509.63,USD,1,,,,
BGA-0004,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0004,FP-2025-04,8706.77,8706.77,USD,1,,,,
BGA-0005,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0002,FP-2025-05,6197.41,6197.41,USD,1,,,,
BGA-0006,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0002,FP-2025-06,7202.24,6532.77,USD,2,VIR-2025-007,STF-003,2025-06-16,Quarterly reallocation
BGA-0007,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0001,FP-2025-07,8055.64,8055.64,USD,1,,,,
BGA-0008,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0002,FP-2025-08,7888.65,7888.65,USD,1,,,,
BGA-0009,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0005,FP-2025-09,9516.69,9516.69,USD,1,,,,
BGA-0010,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0003,FP-2025-10,4323.23,4123.99,USD,2,VIR-2025-010,STF-003,2025-08-29,Quarterly reallocation
BGA-0011,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0001,FP-2025-11,5879.79,5879.79,USD,1,,,,
BGA-0012,GRT-2023-001,PRJ-2023-001,BDL-0012,ACT-0001,FP-2025-12,5985.3,5985.3,USD,1,,,,
BGA-0013,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0005,FP-2025-01,4183.51,4183.51,USD,1,,,,
BGA-0014,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0004,FP-2025-02,5019.83,5019.83,USD,1,,,,
BGA-0015,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0005,FP-2025-03,5305.09,5537.25,USD,2,VIR-2025-046,STF-001,2025-03-16,Quarterly reallocation
BGA-0016,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0002,FP-2025-04,6948.04,6948.04,USD,1,,,,
BGA-0017,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0001,FP-2025-05,7352.54,7352.54,USD,1,,,,
BGA-0018,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0005,FP-2025-06,7217.6,7217.6,USD,1,,,,
BGA-0019,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0005,FP-2025-07,8316.01,8316.01,USD,1,,,,
BGA-0020,GRT-2023-001,PRJ-2023-001,BDL-0018,ACT-0004,FP-2025-08,8348.93,8348.93,USD,1,,,,
