expenditure_id,grant_id,project_id,activity_id,budget_line_id,account_id,cost_centre_id,location_id,period_id,transaction_date,transaction_type,vendor_id,staff_id,procurement_id,description,amount_original,original_currency,exchange_rate,amount_usd,amount_grant_currency,authorised_by,posted_by,posted_date,document_reference,payment_method,payment_reference,is_reversal,reversal_reference,notes
EXP-2025-00001,GRT-2023-001,PRJ-2023-002,ACT-0008,BDL-0015,ACC-5402,CC-PRG-HLT,LOC-KIL-002,FP-2025-01,2025-01-10,Utilities,,,,Utilities - PRJ-2023-002 - Jan 2025,369000.0,TZS,2552.64,144.56,144.56,STF-004,STF-003,2025-01-12,INV-8479-2025-0001,Bank Transfer,TRF-20250110-0001,False,,
EXP-2025-00002,GRT-2024-001,PRJ-2024-001,ACT-0041,BDL-0085,ACC-5103,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-31,Vehicle Fuel,,,,Vehicle Fuel - PRJ-2024-001 - Jan 2025,833000.0,TZS,2496.46,333.67,333.67,STF-002,STF-002,2025-02-01,INV-9299-2025-0002,Cheque,CHQ-22661,False,,
EXP-2025-00003,GRT-2024-001,PRJ-2024-002,ACT-0044,BDL-0099,ACC-5103,CC-PRG-AGR,LOC-KIL-004,FP-2025-01,2025-01-03,Vehicle Fuel,,,,Vehicle Fuel - PRJ-2024-002 - Jan 2025,417000.0,TZS,2455.06,169.85,169.85,STF-009,STF-004,2025-01-07,INV-9522-2025-0003,Bank Transfer,TRF-20250103-0003,False,,
EXP-2025-00004,GRT-2022-004,PRJ-2023-005,ACT-0019,BDL-0130,ACC-5103,CC-PRG-EDU,LOC-KIL-001,FP-2025-01,2025-01-14,Vehicle Fuel,,,,Vehicle Fuel - PRJ-2023-005 - Jan 2025,163000.0,TZS,2493.18,65.38,65.38,STF-009,STF-006,2025-01-15,INV-3834-2025-0004,Bank Transfer,TRF-20250114-0004,False,,
EXP-2025-00005,GRT-2024-001,PRJ-2024-001,ACT-0041,BDL-0097,ACC-5301,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-23,Medical Supplies,VND-0035,,,Medical Supplies - PRJ-2024-001 - Jan 2025,436000.0,TZS,2500.95,174.33,174.33,STF-009,STF-006,2025-01-25,INV-2691-2025-0005,Bank Transfer,TRF-20250123-0005,False,,
EXP-2025-00006,GRT-2024-003,PRJ-2024-005,ACT-0059,BDL-0181,ACC-5202,CC-PRG-HLT,LOC-ARU-004,FP-2025-01,2025-01-15,Training Materials,,,,Training Materials - PRJ-2024-005 - Jan 2025,289000.0,TZS,2530.71,114.2,114.2,STF-008,STF-003,2025-01-19,INV-9661-2025-0006,Bank Transfer,TRF-20250115-0006,False,,
EXP-2025-00007,GRT-2024-001,PRJ-2024-001,ACT-0038,BDL-0097,ACC-5302,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-15,Agricultural Inputs,,,,Agricultural Inputs - PRJ-2024-001 - Jan 2025,1264000.0,TZS,2479.05,509.87,509.87,STF-010,STF-006,2025-01-16,INV-8459-2025-0007,Bank Transfer,TRF-20250115-0007,False,,
EXP-2025-00008,GRT-2024-003,PRJ-2024-005,ACT-0058,BDL-0178,ACC-5202,CC-PRG-HLT,LOC-ARU-004,FP-2025-01,2025-01-24,Training Materials,,,,Training Materials - PRJ-2024-005 - Jan 2025,177000.0,TZS,2461.82,71.9,71.9,STF-008,STF-002,2025-01-27,INV-3616-2025-0008,Mobile Money,CHQ-45435,False,,
EXP-2025-00009,GRT-2023-002,PRJ-2023-004,ACT-0017,BDL-0032,ACC-5402,CC-PRG-EDU,LOC-ARU-002,FP-2025-01,2025-01-08,Utilities,,,,Utilities - PRJ-2023-004 - Jan 2025,192000.0,TZS,2490.47,77.09,77.09,STF-006,STF-004,2025-01-13,INV-7528-2025-0009,Bank Transfer,TRF-20250108-0009,False,,
EXP-2025-00010,GRT-2024-001,PRJ-2024-001,ACT-0040,BDL-0083,ACC-5103,CC-PRG-AGR,LOC-MAN-001,FP-2025-01,2025-01-22,Vehicle Fuel,,,,,197000.0,TZS,2515.66,78.31,78.31,STF-007,STF-005,2025-01-26,INV-9487-2025-0010,Cash,CHQ-87416,False,,
EXP-2025-00011,GRT-2024-003,PRJ-2024-005,ACT-0058,BDL-0180,ACC-5404,CC-PRG-HLT,LOC-ARU-004,FP-2025-01,2025-01-21,M&E Activities,,,,M&E Activities - PRJ-2024-005 - Jan 2025,1124000.0,TZS,2528.62,444.51,444.51,STF-009,STF-006,2025-01-23,INV-9092-2025-0011,Bank Transfer,TRF-20250121-0011,False,,
EXP-2025-00012,GRT-2023-001,PRJ-2023-001,ACT-0005,BDL-0019,ACC-5203,CC-PRG-HLT,LOC-KIL-001,FP-2025-01,2025-01-29,Facilitator Fee,,STF-002,,Facilitator Fee - PRJ-2023-001 - Jan 2025,768000.0,TZS,2461.89,311.96,311.96,STF-003,STF-005,2025-02-01,,Cheque,CHQ-62928,False,,
EXP-2025-00013,GRT-2024-002,PRJ-2024-004,ACT-0051,BDL-0163,ACC-5303,CC-PRG-CHP,LOC-MAN-004,FP-2025-01,2025-01-27,ICT Equipment,VND-0049,,,ICT Equipment - PRJ-2024-004 - Jan 2025,2321000.0,TZS,2465.9,941.24,941.24,STF-009,STF-004,2025-02-01,,Bank Transfer,TRF-20250127-0013,False,,
EXP-2025-00014,GRT-2023-002,PRJ-2023-012,ACT-0073,BDL-0033,ACC-5303,CC-PRG-EDU,LOC-ARU-001,FP-2025-01,2025-01-05,ICT Equipment,VND-0148,,,ICT Equipment - PRJ-2023-012 - Jan 2025,1770000.0,TZS,2559.42,691.56,691.56,STF-003,STF-004,2025-01-07,INV-4618-2025-0014,Cheque,CHQ-49816,False,,
