procurement_id,grant_id,project_id,budget_line_id,vendor_id,location_id,period_id,status_id,procurement_type,description,quantity,unit,unit_price,total_value,currency,po_date,expected_delivery,actual_delivery,grn_reference,invoice_reference,invoice_date,payment_due_date,payment_date,expenditure_id,quotations_obtained,single_source_justified,committee_approval_ref,notes
PRC-2025-0001,GRT-2023-002,PRJ-2023-004,BDL-0022,VND-0007,LOC-ARU-002,FP-2025-01,STS-008,Quotation,Blood Pressure Monitors for PRJ-2023-004,3,Sets,296200.0,888600.0,TZS,2025-01-30,2025-02-11,2025-02-14,GRN-2025-0001,INV-VND-2025-0001,2025-02-19,,,,5,False,,
PRC-2025-0002,GRT-2023-003,PRJ-2023-006,BDL-0074,VND-0012,LOC-KIL-001,FP-2025-07,STS-007,Quotation,Toyota Land Cruiser 4x4 for PRJ-2023-006,1,Sets,44286700.0,44286700.0,TZS,2025-07-10,2025-08-24,2025-08-29,GRN-2025-0002,,,,,,6,False,PC-2025-025,
PRC-2025-0003,GRT-2024-002,PRJ-2024-003,BDL-0172,VND-0075,LOC-ARU-003,FP-2025-09,STS-008,Quotation,Dell Laptop Computer for PRJ-2024-003,1,Kg,1967900.0,1967900.0,TZS,2025-09-04,2025-10-04,2025-10-06,GRN-2025-0003,INV-VND-2025-0003,2025-10-08,,,,3,False,PC-2025-060,
PRC-2025-0004,GRT-2023-002,PRJ-2023-012,BDL-0029,VND-0070,LOC-ARU-001,FP-2025-06,STS-010,Quotation,Malaria Rapid Test Kits Box for PRJ-2023-012,85,Sets,280100.0,23808500.0,TZS,2025-06-25,2025-07-15,2025-07-27,GRN-2025-0004,INV-VND-2025-0004,2025-08-02,2025-09-01,2025-08-28,EXP-28301,4,False,PC-2025-146,
PRC-2025-0005,GRT-2023-001,PRJ-2023-002,BDL-0004,VND-0119,LOC-KIL-002,FP-2025-01,STS-009,Quotation,Motorcycle Honda for PRJ-2023-002,1,Kg,4121500.0,-4121500.0,TZS,2025-01-20,2025-02-03,2025-02-17,GRN-2025-0005,INV-VND-2025-0005,2025-02-24,2025-03-26,2025-03-25,EXP-48469,4,False,PC-2025-153,
PRC-2025-0006,GRT-2024-004,PRJ-2024-006,BDL-0229,VND-0135,LOC-MAN-002,FP-2025-03,STS-009,Quotation,Eucalyptus Seedlings for PRJ-2024-006,6545,Boxes,900.0,5890500.0,TZS,2025-03-13,2025-04-12,2025-04-18,GRN-2025-0006,INV-VND-2025-0006,2025-04-20,2025-05-20,2025-05-19,EXP-21226,7,False,PC-2025-083,
PRC-2025-0007,GRT-2021-001,PRJ-2023-007,BDL-0207,VND-0093,LOC-ARU-001,FP-2025-05,STS-004,Tender,Vegetable Seed Pack for PRJ-2023-007,797,Units,9000.0,7173000.0,TZS,2025-05-10,2025-05-21,,,,,,,,7,False,PC-2025-116,
PRC-2025-0008,GRT-2023-004,PRJ-2023-008,BDL-0102,VND-0116,LOC-MAN-002,FP-2025-09,STS-010,Quotation,HP Desktop Computer for PRJ-2023-008,1,Kg,1429900.0,1429900.0,TZS,2025-09-14,2025-10-06,2025-10-18,GRN-2025-0008,INV-VND-2025-0008,2025-10-20,2025-11-19,2025-12-21,EXP-56438,5,False,PC-2025-034,
PRC-2025-0009,GRT-2021-001,PRJ-2023-007,BDL-0207,VND-0112,LOC-ARU-001,FP-2025-03,STS-010,Quotation,Office Chair for PRJ-2023-007,9,Units,269500.0,2425500.0,TZS,2025-03-06,2025-03-16,03-30-2025,GRN-2025-0009,INV-VND-2025-0009,2025-03-31,2025-04-30,2025-04-27,EXP-31798,3,False,PC-2025-114,
PRC-2025-0010,GRT-2023-002,PRJ-2023-012,BDL-0037,VND-0147,LOC-ARU-001,FP-2025-09,STS-002,Quotation,Bean Seeds 2kg for PRJ-2023-012,585,Boxes,12500.0,7312500.0,TZS,2025-09-16,2025-10-25,,,,,,,,5,False,PC-2025-015,
