training_id,grant_id,project_id,activity_id,location_id,period_id,facilitator_id,training_title,training_type,target_group,start_date,end_date,duration_days,planned_attendance,total_attendance,attendance_male,attendance_female,attendance_youth,attendance_pwd,total_cost,cost_currency,cost_per_participant,pre_assessment_avg,post_assessment_avg,knowledge_gain_pct,certificates_issued,venue,notes
TRN-2025-0001,GRT-2023-001,PRJ-2023-002,ACT-0006,LOC-KIL-002,FP-2025-05,STF-006,First Aid and Emergency Response,Technical,Health Facility Staff,2025-05-18,2025-05-20,3,25,22,15,7,7,0,2723000.0,TZS,123772.73,34.7,72.1,37.4,0,District Council Hall,Training delivered by internal staff
TRN-2025-0002,GRT-2023-003,PRJ-2023-006,ACT-0023,LOC-KIL-001,FP-2025-09,STF-016,Financial Literacy and Savings,Awareness,VSLA Members,2025-09-03,2025-09-03,1,60,47,27,20,26,0,2048000.0,TZS,43574.47,53.0,80.4,,0,CDFT Training Centre,
TRN-2025-0003,GRT-2024-004,PRJ-2024-006,ACT-0066,LOC-MAN-002,FP-2025-04,STF-016,Conservation Agriculture,Vocational,Youth Farmers,2025-04-06,2025-04-07,2,40,37,16,21,14,1,3125000.0,TZS,84459.46,31.1,68.6,37.5,0,CDFT Training Centre,
TRN-2025-0004,GRT-2023-002,PRJ-2023-004,ACT-0016,LOC-ARU-002,FP-2025-08,STF-019,Child Centred Learning Methods,Awareness,Education Officers,2025-08-19,2025-08-23,5,40,41,23,18,19,2,8825000.0,TZS,215243.9,42.7,72.1,29.4,41,District Council Hall,Training delivered by internal staff
TRN-2025-0005,GRT-2023-002,PRJ-2023-012,ACT-0073,LOC-ARU-001,FP-2025-06,STF-039,Teacher Pedagogy Training,Leadership,Parent Teachers Association Members,2025-06-16,2025-06-20,5,50,41,17,24,25,2,3839000.0,TZS,93634.15,36.1,67.7,31.6,41,Community Centre,Training delivered by external facilitator
TRN-2025-0006,GRT-2024-002,PRJ-2024-003,ACT-0048,LOC-ARU-003,FP-2025-05,STF-024,Psychosocial Support Basics,Financial Management,Religious Leaders,2025-05-23,2025-05-26,4,50,43,21,22,13,0,7359000.0,TZS,171139.53,34.7,70.4,35.7,0,District Council Hall,
TRN-2025-0007,GRT-2024-002,PRJ-2024-004,ACT-0050,LOC-MAN-004,FP-2025-03,STF-006,Community Based Child Protection,Awareness,Religious Leaders,2025-03-05,2025-03-09,5,80,64,33,31,39,3,12280000.0,TZS,191875.0,37.1,72.4,35.3,64,School Hall,Training delivered by internal staff
TRN-2025-0008,GRT-2023-004,PRJ-2023-008,ACT-0032,LOC-MAN-002,FP-2025-07,STF-029,Water Harvesting Techniques,Vocational,Youth Farmers,2025-07-04,2025-07-04,1,60,56,23,33,35,2,1747000.0,TZS,31196.43,46.0,85.1,39.1,56,Community Centre,Training delivered by external facilitator
TRN-2025-0009,GRT-2023-003,PRJ-2023-006,ACT-0024,LOC-KIL-001,FP-2025-10,STF-006,Market Linkage Training,Leadership,Women Group Members,2025-10-16,2025-10-19,4,40,30,11,19,18,0,3066000.0,TZS,102200.0,37.9,57.3,19.4,30,Community Centre,Training delivered by government partner
TRN-2025-0010,GRT-2023-002,PRJ-2023-004,ACT-0016,LOC-ARU-002,FP-2025-03,STF-028,Early Childhood Development,Financial Management,Education Officers,2025-03-14,2025-03-18,5,30,24,15,9,14,0,3237000.0,TZS,134875.0,34.5,50.9,16.4,0,District Council Hall,Training delivered by internal staff
TRN-2025-0011,GRT-2021-001,PRJ-2023-007,ACT-0029,LOC-ARU-001,FP-2025-07,STF-029,Business Skills Development,Awareness,Women Group Members,2025-07-25,2025-07-28,4,80,75,29,46,41,3,7254000.0,TZS,96720.0,51.0,80.0,29.0,75,Government Office Meeting Room,Training delivered by government partner
TRN-2025-0012,GRT-2024-001,PRJ-2024-007,ACT-0076,LOC-ARU-002,FP-2025-10,STF-027,Cooperative Management,Leadership,Smallholder Farmers,2025-10-02,2025-10-04,3,50,48,16,32,16,0,4409000.0,TZS,91854.17,35.3,66.0,30.7,0,Government Office Meeting Room,Training delivered by external facilitator
TRN-2025-0013,GRT-2023-001,PRJ-2023-001,ACT-0001,LOC-KIL-001,FP-2025-08,STF-015,First Aid and Emergency Response,Awareness,Health Facility Staff,2025-08-13,2025-08-17,5,40,33,16,17,13,1,5938000.0,TZS,179939.39,33.4,54.6,21.2,33,Government Office Meeting Room,Training delivered by external facilitator
TRN-2025-0014,GRT-2023-003,PRJ-2023-006,ACT-0023,LOC-KIL-001,FP-2025-07,STF-040,Leadership for Women,Technical,Female Entrepreneurs,2025-07-26,2025-07-28,3,30,23,8,15,11,0,2422000.0,TZS,105304.35,44.5,74.0,29.5,0,School Hall,
